gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	abs_log2FoldChange
ENSMUSG00000057003	2742.79445367008	-5.7399206706309	2.29441178113715	-2.50169595441412	0.0123600021447659	0.224654211490106	5.7399206706309
ENSMUSG00000031972	3110.20876190607	-4.16790245710809	2.02766297084757	-2.05552032908402	0.039828774183774	0.311682920880643	4.16790245710809
ENSMUSG00000040152	4676.37408368252	-2.05442271079894	0.707774771072629	-2.90265038366015	0.0037001945980109	0.176572107357685	2.05442271079894
ENSMUSG00000037362	3474.04167500216	-1.69761038906834	0.482214547671731	-3.52044623552915	0.0004308213243775	0.0782904011477811	1.69761038906834
ENSMUSG00000020241	4412.25175918381	-1.58632550056991	0.561292791650677	-2.82619966649628	0.004710389262888	0.195846615645768	1.58632550056991
ENSMUSG00000030218	3611.99053814742	-1.58374935152754	0.596203639614426	-2.65638994178529	0.0078982227190186	0.209432972496348	1.58374935152754
ENSMUSG00000000031	3576.12264699628	-1.56021371121312	0.610303423363232	-2.55645577508834	0.0105744511846522	0.218605510666134	1.56021371121312
ENSMUSG00000015090	24181.9382902565	-1.54105295240531	1.18916513327415	-1.29591165203634	0.195005924388766	0.466650910365265	1.54105295240531
ENSMUSG00000026193	5647.8260854214	-1.48544673590092	0.770732741577495	-1.92731754571707	0.0539400682943108	0.335807645865739	1.48544673590092
ENSMUSG00000020473	2957.98155789316	-1.4430623915662	0.680534206772923	-2.12048472685769	0.0339651882042055	0.29569332618932	1.4430623915662
ENSMUSG00000001119	3423.73844287712	-1.33929646837893	0.536227355630628	-2.49762801974892	0.012502731174773	0.225845215190749	1.33929646837893
ENSMUSG00000001506	12382.6363101429	-1.33166327557815	0.6610460233508	-2.01447891453614	0.0439592764545401	0.318271119806568	1.33166327557815
ENSMUSG00000031375	7902.99241599338	-1.33088759205242	0.45498278917396	-2.92513832109716	0.0034430314605826	0.171193203447318	1.33088759205242
ENSMUSG00000021319	3829.18301998082	-1.32266807332598	0.515452189086421	-2.56603444767643	0.0102868611592538	0.218605510666134	1.32266807332598
ENSMUSG00000026185	16509.9455840226	-1.26767132211254	0.439520568335623	-2.88421387629925	0.0039239215576497	0.181971862236009	1.26767132211254
ENSMUSG00000026043	11647.3834978588	-1.08791036862726	0.409972253867432	-2.65361950318484	0.0079633567049185	0.209432972496348	1.08791036862726
ENSMUSG00000029661	18598.2818367777	-1.05973240955943	0.472934932982012	-2.24075731280298	0.025041799404901	0.268392441177416	1.05973240955943
ENSMUSG00000074743	3399.76607867962	-1.05324855349852	0.436337363476842	-2.41383993592934	0.0157853952597399	0.234826665987602	1.05324855349852
ENSMUSG00000023886	4463.31224958875	-0.691705103702358	0.41540960674922	-1.66511580970716	0.0958896531551265	0.373017226890329	0.691705103702358
ENSMUSG00000026365	3800.39503072811	-0.676628810556385	0.467395135349719	-1.44765907768833	0.147712420022558	0.429689637189609	0.676628810556385
ENSMUSG00000069917	5661.31207006977	-0.670060061248406	0.614393100684424	-1.09060479439299	0.275446819016655	0.538718575878884	0.670060061248406
ENSMUSG00000005716	4907.4090561253	-0.64845983014351	0.298407932975355	-2.17306498415733	0.0297754266746689	0.28341846754641	0.64845983014351
ENSMUSG00000023046	4447.8272713342	-0.601168309026563	0.450123245793064	-1.3355637920174	0.181691891510357	0.459634859791591	0.601168309026563
ENSMUSG00000020044	19765.3047899349	-0.59698978208593	0.237628487757584	-2.51228204042163	0.0119953177946634	0.223924968450713	0.59698978208593
ENSMUSG00000040488	3085.2770608377	-0.593957274447109	0.380584375812864	-1.56064544998338	0.118607428717138	0.401434125405444	0.593957274447109
