stage,srr,fail_total,warn_total,severity
raw,SRR34002418,6,4,22
raw,SRR34002420,6,4,22
raw,SRR34002410,5,5,20
raw,SRR34002415,5,5,20
raw,SRR34002417,5,5,20
raw,SRR34002426,5,5,20
raw,SRR34002427,5,5,20
raw,SRR34002428,5,5,20
raw,SRR34002429,5,5,20
raw,SRR34002413,5,4,19
raw,SRR34002437,5,4,19
raw,SRR34002412,5,3,18
raw,SRR34002416,4,6,18
raw,SRR34002419,4,6,18
raw,SRR34002421,4,6,18
raw,SRR34002423,4,6,18
raw,SRR34002424,4,6,18
raw,SRR34002425,4,6,18
raw,SRR34002430,4,6,18
raw,SRR34002431,4,6,18
raw,SRR34002432,5,3,18
raw,SRR34002433,5,3,18
raw,SRR34002434,5,3,18
raw,SRR34002435,5,3,18
raw,SRR34002439,5,3,18
raw,SRR34002414,4,5,17
raw,SRR34002411,4,4,16
raw,SRR34002436,4,4,16
raw,SRR34002438,4,4,16
raw,SRR34002422,2,8,14
