N_unmapped	887459	887459	887459
N_multimapping	2788432	2788432	2788432
N_noFeature	1548630	48592149	1981799
N_ambiguous	4205274	63408	996302
ENSMUSG00000104478	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000101231	0	0	0
ENSMUSG00000101097	0	0	0
ENSMUSG00000100764	11	1	11
ENSMUSG00000100831	0	0	0
ENSMUSG00000100884	0	0	0
ENSMUSG00000100635	18	11	8
ENSMUSG00000100480	32	0	32
ENSMUSG00000089037	0	0	0
ENSMUSG00002076531	0	0	0
ENSMUSG00000100025	2	0	2
ENSMUSG00000026312	98	1	97
ENSMUSG00000100290	0	0	0
ENSMUSG00000100758	0	0	0
ENSMUSG00000099926	0	0	0
ENSMUSG00000039748	11	0	11
ENSMUSG00000118715	0	0	0
ENSMUSG00000104158	0	0	0
ENSMUSG00000103540	2	0	2
ENSMUSG00000057363	2951	14	2937
ENSMUSG00000047216	3070	16	3054
ENSMUSG00000102788	1	0	1
ENSMUSG00000102160	2	0	2
ENSMUSG00000101253	0	0	6
ENSMUSG00000101846	0	6	0
ENSMUSG00000090243	2	2	0
ENSMUSG00000100701	3	0	4
ENSMUSG00000100555	1	0	1
ENSMUSG00000101395	0	0	0
ENSMUSG00000102728	0	0	0
ENSMUSG00000088848	0	0	0
ENSMUSG00002075225	0	0	0
ENSMUSG00000038702	1328	5	1323
ENSMUSG00000101875	2	0	2
ENSMUSG00000099732	0	0	0
ENSMUSG00000101220	0	0	0
ENSMUSG00000100020	0	0	0
ENSMUSG00000088691	0	0	0
ENSMUSG00000099884	0	0	0
ENSMUSG00000100304	0	0	0
ENSMUSG00000101453	0	0	0
ENSMUSG00000102105	0	0	0
ENSMUSG00000099943	0	0	0
ENSMUSG00002075119	0	0	0
ENSMUSG00000101687	0	0	0
ENSMUSG00000055214	2182	10	2178
ENSMUSG00000078184	7	0	7
ENSMUSG00000104363	0	0	0
ENSMUSG00000103277	0	0	0
ENSMUSG00000104157	22	0	22
ENSMUSG00000102446	0	0	0
ENSMUSG00000104248	0	0	0
ENSMUSG00000103471	0	0	0
ENSMUSG00000087875	0	0	0
ENSMUSG00000070695	796	3	839
ENSMUSG00002076179	0	0	0
ENSMUSG00000102033	0	0	0
ENSMUSG00000094429	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	460	13	973
ENSMUSG00000102030	5	5	0
ENSMUSG00000025911	85	42	59
ENSMUSG00000081441	0	0	0
ENSMUSG00000067879	2	1	2
ENSMUSG00000099827	0	0	0
ENSMUSG00000057335	6755	70	7223
ENSMUSG00000103634	0	0	0
ENSMUSG00000104154	1	0	1
ENSMUSG00000065573	0	0	0
ENSMUSG00002076271	0	0	0
ENSMUSG00000025912	296	1	295
ENSMUSG00000045210	4592	26	5275
ENSMUSG00000041763	4619	35	5355
ENSMUSG00000026504	794	276	587
ENSMUSG00000103367	0	149	0
ENSMUSG00000103584	0	0	0
ENSMUSG00002076339	0	0	0
ENSMUSG00000102475	0	0	0
ENSMUSG00000047343	2	0	2
ENSMUSG00000102211	0	0	0
ENSMUSG00000090106	0	0	0
ENSMUSG00000103251	0	0	0
ENSMUSG00000091844	2	0	2
ENSMUSG00000026483	2328	13	2449
ENSMUSG00000098611	0	0	0
ENSMUSG00000100534	1	0	1
ENSMUSG00000102904	0	0	0
ENSMUSG00002076350	0	0	0
ENSMUSG00000019699	11394	111	11353
ENSMUSG00000104391	0	0	0
ENSMUSG00000102133	0	0	0
ENSMUSG00000102749	0	0	0
ENSMUSG00000103163	0	0	0
ENSMUSG00000103646	0	0	0
ENSMUSG00000102427	0	0	0
ENSMUSG00000063659	2775	12	2771
ENSMUSG00000026049	159	1	158
ENSMUSG00000103767	0	0	0
ENSMUSG00000043019	3249	12	3237
ENSMUSG00000101104	0	0	0
